Riding,PC,NDP,Liberal,Green,Other,Total
Ajax,19078,15130,12607,1224,821,48860
Algoma—Manitoulin,7143,17105,2365,1025,1573,29211
Aurora—Oak Ridges—Richmond Hill,25214,9718,8116,1195,755,44998
Barrie—Innisfil,22121,12661,5543,3190,757,44272
Barrie—Springwater—Oro-Medonte,20445,12891,6210,5354,789,45689
Bay of Quinte,24224,16063,7511,1730,914,50442
Beaches—East York,9202,24064,13480,2128,1040,49914
Brampton Centre,12803,12892,5825,1053,1025,33598
Brampton East,12896,18062,6398,523,616,38495
Brampton North,14380,14877,8410,1366,591,39624
Brampton South,15652,12919,7212,1472,914,38169
Brampton West,14951,14461,7013,999,537,37961
Brantford—Brant,24437,23802,5553,2741,1655,58188
Bruce—Grey—Owen Sound,26874,11837,6041,2927,1449,49129
Burlington,25504,18053,15515,2828,1155,63055
Cambridge,17793,15639,11191,3018,490,48131
Carleton,25798,11308,9768,1985,1399,50258
Chatham-Kent—Leamington,24078,16558,3736,1643,358,46373
Davenport,7370,27613,8558,1624,654,45819
Don Valley East,11984,9937,13012,917,367,36217
Don Valley North,18046,8476,12557,1039,489,40607
Don Valley West,17621,8620,17802,1268,466,45777
Dufferin—Caledon,29704,11381,6972,7011,888,55956
Durham,28575,19253,10237,2360,382,60807
Eglinton—Lawrence,19999,8985,19042,1190,311,49527
Elgin—Middlesex—London,29264,16923,3857,2029,694,52767
Essex,23423,26134,3026,1920,0,54503
Etobicoke Centre,24432,10311,19708,1329,1045,56825
Etobicoke—Lakeshore,22626,19401,14305,2138,523,58993
Etobicoke North,19055,9210,6601,1026,414,36306
Flamborough—Glanbrook,22454,17630,7967,2307,1230,51588
Glengarry—Prescott—Russell,19952,10610,15409,1427,1292,48690
Guelph,14084,13929,6537,29082,945,64577
Haldimand—Norfolk,28889,13609,4656,2095,1344,50593
Haliburton—Kawartha Lakes—Brock,32406,15142,5655,2551,1389,57143
Hamilton Centre,5730,23866,3982,2102,895,36575
Hamilton East—Stoney Creek,12684,22518,5320,1884,1614,44020
Hamilton Mountain,12891,24406,4134,2300,986,44717
Hamilton West—Ancaster—Dundas,17189,23921,10960,2302,1018,55390
Hastings—Lennox and Addington,22374,14441,5180,1924,602,44521
Humber River—Black Creek,9367,11573,8642,485,862,30929
Huron—Bruce,27646,15326,7356,1804,670,52802
Kanata—Carleton,23089,15592,9090,2827,2855,53453
Kenora—Rainy River,9748,7493,2123,707,0,20071
Kiiwetinoong,1765,3232,983,406,91,6477
King—Vaughan,29136,7921,12012,1754,638,51461
Kingston and the Islands,14512,21788,15312,3574,458,55644
Kitchener Centre,13080,20512,9499,3234,955,47280
Kitchener—Conestoga,17005,16319,6035,2853,762,42974
Kitchener South—Hespeler,16511,15741,6335,3198,698,42483
Lambton—Kent—Middlesex,27906,16800,3143,1660,915,50424
Lanark—Frontenac—Kingston,26194,15339,5359,2410,1041,50343
Leeds—Grenville—Thousand Islands and Rideau Lakes,30002,9688,6543,2347,389,48969
London—Fanshawe,13519,25272,3797,2050,753,45391
London North Centre,16701,25757,8501,2493,661,54113
London West,17133,32644,5847,2211,1161,58996
Markham—Stouffville,25912,10997,14007,2153,777,53846
Markham—Thornhill,18943,8010,9160,859,576,37548
Markham—Unionville,29305,7778,8456,996,405,46940
Milton,18249,9740,13064,2200,536,43789
Mississauga Centre,17860,12046,11102,1149,1553,43710
Mississauga East—Cooksville,17862,9871,13123,1498,1051,43405
Mississauga—Erin Mills,19631,13021,11965,1296,1265,47178
Mississauga—Lakeshore,22520,9735,18636,1572,736,53199
Mississauga—Malton,14712,12351,7813,674,2061,37611
Mississauga—Streetsville,20879,12393,12344,1349,999,47964
Mushkegowuk—James Bay,2795,4827,1332,167,203,9324
Nepean,23899,15110,10383,2739,826,52957
Newmarket—Aurora,24813,12405,11840,1859,1096,52013
Niagara Centre,18333,21618,5779,1803,1341,48874
Niagara Falls,21126,30161,5554,2057,483,59381
Niagara West,24394,13769,4859,2590,578,46190
Nickel Belt,8018,23157,3182,1137,973,36467
Nipissing,17598,12994,2794,997,860,35243
Northumberland—Peterborough South,27386,14804,14603,2740,890,60423
Oakville,24837,9424,20327,1986,297,56871
Oakville North—Burlington,25691,13496,13487,2052,625,55351
Orléans,22509,14033,24972,1603,833,63950
Oshawa,22594,24301,4278,1957,1013,54143
Ottawa Centre,10327,29675,21111,2266,1024,64403
Ottawa South,15319,14250,20773,1618,456,52416
Ottawa—Vanier,10252,14232,20555,1955,964,47958
Ottawa West—Nepean,16590,16415,14810,1937,793,50545
Oxford,29152,15917,3620,2254,1368,52311
Parkdale—High Park,9821,32407,9271,2544,506,54549
Parry Sound—Muskoka,22662,10385,4071,9438,587,47143
Perth—Wellington,23736,14385,5062,2746,914,46843
Peterborough—Kawartha,22904,20518,14946,2024,398,60790
Pickering—Uxbridge,22447,17033,10851,2105,757,53193
Renfrew—Nipissing—Pembroke,33350,8066,4701,1436,646,48199
Richmond Hill,22224,7490,12108,1248,301,43371
St. Catharines,17353,18911,12671,1923,792,51650
Sarnia—Lambton,26811,18995,2246,1856,922,50830
Sault Ste. Marie,13498,13084,3199,1044,1292,32117
Scarborough—Agincourt,18582,6434,10429,635,791,36871
Scarborough Centre,15266,13247,8791,919,1481,39704
Scarborough—Guildwood,11898,9917,11972,878,1240,35905
Scarborough North,17413,8320,7519,543,318,34113
Scarborough—Rouge Park,16224,15261,8785,1014,731,42015
Scarborough Southwest,13565,19835,8228,1174,641,43443
Simcoe—Grey,34094,13444,8780,4192,453,60963
Simcoe North,25236,15078,9523,3632,320,53789
Spadina—Fort York,10834,24677,11770,1815,635,49731
Stormont—Dundas—South Glengarry,26780,9416,5386,1596,360,43538
Sudbury,8405,17386,8108,1504,764,36167
Thornhill,28889,9134,6985,1043,1208,47259
Thunder Bay—Atikokan,7555,11793,11712,880,585,32525
Thunder Bay—Superior North,5395,11160,11973,838,669,30035
Timiskaming—Cochrane,6160,16806,2476,723,1296,27461
Timmins,4634,8978,1378,273,370,15633
Toronto Centre,6234,23688,11986,1377,863,44148
Toronto—Danforth,8131,32938,7216,2248,736,51269
Toronto—St. Paul's,13780,18843,17498,1690,591,52402
University—Rosedale,10431,24537,10898,2652,894,49412
Vaughan—Woodbridge,21687,6254,13742,972,291,42946
Waterloo,16973,27315,6577,2613,566,54044
Wellington—Halton Hills,31659,14087,7492,5066,320,58624
Whitby,26471,21158,7441,1958,768,57796
Willowdale,17732,10481,10815,932,686,40646
Windsor—Tecumseh,11677,25221,3513,1909,863,43183
Windsor West,11073,20276,5722,1393,435,38899
York Centre,18434,8617,7865,843,1002,36761
York—Simcoe,26050,10655,6182,2195,409,45491
York South—Weston,12290,13455,10379,946,228,37298